Code_base;Base;Ref publi;Code_publi;Exp;Trait;N°Refexp;N°trait_publi;Exp_fact;Description_trait;Nom_trait;Espece;Code_espece;MSI;pH;C2/C3;C2;C3;R_NDF;C_MOdeg;NDFF;%conc
2;Proportion;Ahvenjarvi2002;380;1;1;3801;38011;38011;silage alone;S;Dairy_cow;1;13,8;6,71;3,6;66,4;18,3;492;0;492;2
2;Proportion;Ahvenjarvi2002;380;1;2;3801;38012;38011;silage + barley;SB;Dairy_cow;1;17,5;6,26;3,9;65,9;16,7;413;209;351;30
2;Proportion;Ahvenjarvi2002;380;1;3;3801;38013;38012;silage + rapeseed meal;SR;Dairy_cow;1;16,2;6,55;3,6;66,1;18,5;472;65;435;13
2;Proportion;Ahvenjarvi2002;380;1;4;3801;38014;38012;silage +  barley and rapeseed meal;SBR;Dairy_cow;1;18,1;6,13;3,7;64,4;17,4;392;270;297;41
2;Proportion;Koenig2003;383;1;1;3831;38311;38311;20% silage + barely (processing index of 86%);20% silage - PI86;Steer;2;8,6;5,94;2,7;58,7;21,4;320;571;106;80
2;Proportion;Koenig2003;383;1;2;3831;38312;38312;20% silage + barley (processing index of 61%);20% silage - PI 61;Steer;2;8,5;5,96;2,5;57,1;22,7;320;571;106;80
2;Proportion;Koenig2003;383;1;3;3831;38313;38311;5% silage + barley (processing index of 86 %);5% silage - PI86;Steer;2;9,4;5,69;1,8;51,5;28,8;283;683;26;95
2;Proportion;Koenig2003;383;1;4;3831;38314;38312;5% silage + barlay (processing index of 61 %);5% silage - PI86;Steer;2;8,3;5,74;1,5;51,9;34,4;283;683;26;95
2;Proportion;Elizalde1999;387;1;2;3871;38712;38712;ad libitum alfalfa;AALF;Steer;2;9,5;6,39;4;68,2;17,2;416;0;416;0
2;Proportion;Elizalde1999;387;1;3;3871;38713;38712;ad libitum alfalfa + cracked corn supplementation at 0,4 % BW;0,4%BW corn grain;Steer;2;9,6;6,29;3,8;67;17,8;376;75;360;14
